	logFC	AveExpr	t	P.Value	adj.P.Val	B
kshv-miR-K12-4-5p	-0.035635799	5.074595463	-3.335945108	0.001973771	0.007033518	-1.854455696
kshv-miR-K12-6-5p	-0.035859662	5.031301563	-2.792469875	0.008303189	0.022867305	-3.189597037
hsa-miR-1914	-0.036290971	5.123987604	-2.895791036	0.006375817	0.018589231	-2.946693838
hsa-miR-515-3p	-0.214642363	13.00928748	-1.830426118	0.075427222	0.134927581	-5.142072058
hsa-miR-15a	0.211510637	10.33142217	1.428887463	0.161607317	0.248215571	-5.759233223
hsa-miR-943	-0.037227746	5.046192315	-3.304201341	0.002153001	0.007591866	-1.936078618
hsv2-miR-H4-5p	-0.039175447	4.994129916	-3.372191581	0.001786558	0.006451725	-1.760758477
ebv-miR-BART7*	-0.039281153	5.043917479	-2.753743164	0.009156332	0.024471388	-3.279191262
hsa-miR-1260b	-0.205689829	10.42113931	-1.19292291	0.240658178	0.344125866	-6.058463055
hsv1-miR-H14-5p	-0.039556653	5.114010044	-2.486478862	0.017647397	0.041055343	-3.874567819
hsa-miR-520d-3p	-0.205381573	10.51650541	-1.478139003	0.148017456	0.230230384	-5.69068147
hsa-miR-676*	-0.040353286	5.065640997	-3.339956253	0.001952165	0.006974978	-1.84411275
ebv-miR-BART6-5p	-0.040827923	5.028604404	-3.006522021	0.004780257	0.014734567	-2.680364869
hsa-miR-4262	-0.043340873	5.023749574	-4.624387527	4.66E-05	0.000389508	1.725976859
hsa-miR-20b*	-0.043923773	5.041886437	-3.760416346	0.000599222	0.002616944	-0.726794693
hsa-miR-518f	-0.202931254	8.876460441	-1.738562383	0.090609644	0.156475886	-5.294715552
hsa-miR-4277	-0.044956461	5.057702836	-4.756590339	3.12E-05	0.000276222	2.114114948
hsa-miR-124*	-0.045141901	5.084203539	-3.564351899	0.001046066	0.004168789	-1.255610726
hsa-miR-483-5p	-0.2023022	10.69059699	-1.790123984	0.081799411	0.144598171	-5.209847709
hsa-miR-4305	-0.045534511	5.035196912	-3.823741971	0.000499457	0.00228057	-0.553367298
hsa-miR-302d*	-0.045567407	5.094650045	-3.537847206	0.001126967	0.00440616	-1.326094489
hsa-miR-606	-0.046368922	5.007234897	-2.526448566	0.016032748	0.03787003	-3.788176677
hsa-let-7e	0.200405357	10.3101808	1.798160052	0.080493685	0.142664466	-5.196433827
hsa-miR-200a	0.200087628	5.509617066	1.25596216	0.217173639	0.316312245	-5.983330405
kshv-miR-K12-10a*	-0.047448333	5.079576651	-2.625316894	0.012603092	0.031613343	-3.57040699
hsa-miR-432	0.197389977	7.496531309	1.710174143	0.09579094	0.163329615	-5.340547848
hsa-miR-1251	-0.048208183	5.004126867	-3.95253112	0.000343841	0.001741182	-0.197028456
hsa-miR-635	-0.050881157	5.09199346	-3.708959135	0.00069427	0.002913339	-0.866803236
hsa-miR-3198	0.195718235	9.151042406	2.187871334	0.0352143	0.074174735	-4.488143428
hsa-miR-10a	-0.195436192	7.045142994	-1.868939999	0.069737174	0.126940504	-5.076137952
hsa-miR-558	-0.051981964	5.035124514	-2.852638379	0.007123375	0.020328784	-3.048817816
hsa-miR-3612	-0.05236655	5.108822006	-3.3010108	0.002171852	0.00763815	-1.944259716
ebv-miR-BART8*	-0.053503335	5.081233825	-4.586424111	5.22E-05	0.000428915	1.614998145
hsa-miR-3165	-0.053884119	5.076703414	-4.264968076	0.000136984	0.00085351	0.685377094
hsa-miR-643	-0.054281028	5.078026913	-4.506519681	6.65E-05	0.00049734	1.382173365
hsa-miR-22*	-0.194077658	7.47709577	-1.801699215	0.079924248	0.141841848	-5.190510332
hsa-miR-4258	-0.055762778	5.084966131	-4.090725798	0.000229405	0.001231112	0.190341615
hsa-miR-200b*	0.193516302	6.25079922	2.1742051	0.036303943	0.075465142	-4.514818616
hsa-miR-218-2*	-0.055933653	5.070054902	-2.541288156	0.015468537	0.036814592	-3.755857917
hsa-miR-362-5p	0.193212439	6.462139121	1.89199009	0.066510481	0.122893851	-5.036137823
hsa-miR-103a-2*	-0.057093245	5.114780572	-4.082236707	0.000235207	0.001247336	0.166405831
hsa-miR-518a-3p	-0.191342072	10.40419776	-1.582852155	0.122151874	0.196275269	-5.53815004
hsa-miR-3611	-0.057605682	5.061975346	-2.642102142	0.012092878	0.030618622	-3.532871745
hsa-miR-1912	-0.058334447	5.081090495	-4.276709094	0.000132281	0.000828754	0.718977957
hsa-miR-557	-0.188863326	8.249510921	-1.928830534	0.061619427	0.114960343	-4.971376359
hsv1-miR-H8	-0.18883011	7.822818695	-1.447416367	0.156383677	0.241016949	-5.733685605
hsa-let-7i	0.188313449	9.348357187	0.65573457	0.516140162	0.619644205	-6.549377522
hsv2-miR-H13	-0.058364717	5.035351293	-4.161309349	0.000186289	0.001054333	0.390032496
hsa-miR-524-3p	-0.187033189	9.042989572	-1.56869846	0.125417052	0.200399489	-5.559300259
kshv-miR-K12-3*	-0.058447263	4.973919861	-5.012770099	1.43E-05	0.000161367	2.872560105
kshv-miR-K12-6-3p	-0.058621427	5.094837233	-3.079354469	0.003944757	0.012473209	-2.501956365
hsa-miR-3934	-0.186130706	8.333009951	-1.976483702	0.055755359	0.106076932	-4.886109415
hsa-miR-4329	-0.058839779	5.042145892	-4.978150801	1.59E-05	0.000170805	2.769644428
hsa-miR-582-3p	-0.059045109	5.046670451	-3.931042431	0.000366039	0.001819387	-0.256809202
hsa-miR-761	-0.060056611	5.033314206	-5.331262734	5.36E-06	7.22E-05	3.824106566
hsa-miR-15b	0.183894215	11.42277576	0.87921427	0.385082928	0.499983886	-6.378297097
hsa-miR-106b	0.183200299	10.71670427	1.849766171	0.072522354	0.130424047	-5.109104274
hsa-miR-4251	-0.182414696	6.178901096	-2.185220385	0.035423366	0.074322857	-4.49332781
hsa-miR-518c*	-0.182214661	11.09860894	-1.498274986	0.14273011	0.223517659	-5.662062744
hsa-miR-218	0.182122427	7.736789087	1.114410939	0.272445628	0.382275272	-6.147027307
hsa-miR-607	-0.060198206	5.059060356	-2.750074546	0.009241243	0.024600701	-3.287636673
hsa-miR-620	-0.060546791	5.04573336	-5.120309435	1.02E-05	0.000124385	3.192964756
hsa-miR-3691-5p	-0.064930864	5.100612945	-4.535888115	6.08E-05	0.000479166	1.467623492
ebv-miR-BART4*	-0.065213153	5.088207135	-4.481541355	7.16E-05	0.00052739	1.30961333
hsa-miR-518c	0.179799984	10.75491354	0.751159029	0.457411464	0.56740226	-6.482229033
hsa-miR-487b	0.179589592	9.213034663	1.072290341	0.290684711	0.401592108	-6.192223337
hsa-miR-3131	0.179284917	6.886329263	1.882417013	0.067834696	0.12440307	-5.052799302
hsa-miR-148a*	-0.065366517	5.096134891	-2.961558335	0.005376558	0.016165679	-2.789240065
hsa-miR-197	0.176562902	6.715012966	1.640807443	0.109497072	0.179649885	-5.449832123
ebv-miR-BART19-5p	-0.067423837	4.982680943	-6.143810411	4.37E-07	1.37E-05	6.269685769
hsv2-miR-H23	-0.068156174	5.10758807	-3.583221287	0.000991911	0.00398837	-1.205280403
hsa-miR-3687	0.17380511	5.971818533	1.639237774	0.109825023	0.179750069	-5.452260209
hsa-miR-486-5p	-0.173654853	8.72305364	-0.587985778	0.560191525	0.660751299	-6.591649343
ebv-miR-BART9*	-0.068890293	5.026808129	-4.559964729	5.66E-05	0.00045626	1.537784442
hsa-miR-542-3p	-0.173436739	8.120161265	-1.174886554	0.247708828	0.352710139	-6.079302973
hsa-miR-203	0.17330886	7.845112024	0.582365362	0.563929682	0.664204952	-6.594953476
hsa-miR-196b*	-0.069676362	5.079946661	-6.606260823	1.06E-07	4.74E-06	7.65795616
hsa-miR-1973	-0.173014585	10.7278182	-0.766515651	0.448338424	0.560215081	-6.470597263
hsa-miR-1247	-0.172944534	5.543259443	-2.138629433	0.03928205	0.080783086	-4.583656734
hsa-miR-1208	-0.17235945	6.607485264	-2.000073943	0.053035977	0.102056373	-4.84328079
hsa-miR-4287	-0.17219528	8.654525333	-1.539963601	0.1322639	0.210341763	-5.601729594
hsa-miR-193a-5p	0.170554024	7.055246352	1.885866832	0.067354911	0.124113633	-5.04680303
hsa-miR-1233	-0.072179892	5.060295369	-4.357368397	0.000103987	0.000706107	0.950584166
hsa-miR-151-5p	0.169992953	10.52478553	1.628671022	0.112053842	0.183001948	-5.468553629
hsa-miR-296-5p	0.169801639	6.415473729	2.049767551	0.047682879	0.093541933	-4.751739218
hsa-miR-559	-0.076804476	5.05098261	-5.212016731	7.73E-06	9.92E-05	3.466958562
hsa-miR-1258	-0.077328807	5.15305984	-4.847312244	2.36E-05	0.000227097	2.381834166
hsa-miR-3909	-0.077387803	5.087777559	-6.182930313	3.87E-07	1.24E-05	6.387420473
hsa-miR-320e	-0.16852695	10.95726707	-1.641534247	0.109345493	0.179619975	-5.448707169
hsa-miR-95	0.16839203	5.862756542	0.62128898	0.538301513	0.640851701	-6.571433028
hsa-miR-365*	0.168256881	6.700661254	1.875312735	0.068831954	0.125802771	-5.065119192
ebv-miR-BHRF1-1	-0.168010059	5.611795576	-2.315269572	0.02637602	0.057582656	-4.233426436
hsa-miR-588	-0.077440604	5.025525399	-4.677170142	3.97E-05	0.000340391	1.880641746
hsa-miR-3685	-0.078271436	5.116080867	-4.884841221	2.11E-05	0.000207303	2.49287589
hsv1-miR-H11	-0.079646193	5.121769037	-2.444374292	0.019507668	0.044764615	-3.964521708
hsa-miR-33a*	-0.080495502	5.083394882	-5.785445393	1.32E-06	3.01E-05	5.190130751
hsa-miR-24-2*	-0.08064006	5.006170239	-5.532656616	2.88E-06	4.73E-05	4.429012631
hsa-miR-27b	-0.164080459	12.09954195	-2.056022499	0.047043772	0.092507972	-4.740090963
hsa-miR-2115*	-0.080952477	5.242189023	-2.989218532	0.005001955	0.015243513	-2.722379779
hsa-miR-3126-3p	-0.084058466	5.028277696	-7.599974886	5.25E-09	5.05E-07	10.59388172
hsa-miR-1914*	0.163370686	9.983025766	0.555627544	0.581882631	0.679788294	-6.610245368
hsa-miR-454	0.16265264	6.397867348	1.734999266	0.091246805	0.157173204	-5.30050314
ebv-miR-BHRF1-3	-0.084231509	5.011478786	-8.027780879	1.48E-09	1.82E-07	11.82884034
hsa-miR-3190	-0.161542661	6.436019941	-2.335619492	0.02516578	0.055480043	-4.191747431
hsa-miR-337-5p	-0.161073911	8.147763199	-1.077781357	0.288259573	0.400294479	-6.186423785
ebv-miR-BHRF1-2	-0.085298839	5.028200818	-6.972722567	3.46E-08	1.86E-06	8.749926385
hsa-miR-218-1*	-0.085918082	5.070323282	-6.123482767	4.65E-07	1.42E-05	6.2084936
hsa-miR-34a	0.160914198	10.3206452	1.400315692	0.169929993	0.257742947	-5.79805178
hsa-miR-1228	0.160575453	7.63289441	1.301879847	0.201179243	0.29943474	-5.926377086
hsa-miR-200c*	-0.087301778	5.233261097	-4.800486417	2.73E-05	0.000247805	2.243521894
hsa-miR-135b*	-0.087538449	5.13872982	-3.905648849	0.000394071	0.001916293	-0.327288649
hsa-miR-3160-3p	-0.087675438	5.262475635	-2.675655233	0.011129669	0.028774787	-3.457360188
jcv-miR-J1-5p	-0.158515795	5.881129977	-2.316254087	0.026316284	0.057545512	-4.231416222
hsa-miR-3690	-0.087784087	5.093631947	-4.086803453	0.000232068	0.001236418	0.179279993
hsa-miR-105	-0.088989132	5.196860406	-3.45895698	0.001404974	0.005271589	-1.534381972
hsa-miR-1229	-0.155452063	5.999980547	-1.267176212	0.213182077	0.312126367	-5.969593546
hsa-miR-383	-0.089193807	5.237028119	-4.220645176	0.000156265	0.000937906	0.558799867
hsa-miR-216b	-0.089828083	5.085975948	-5.77141104	1.38E-06	3.02E-05	5.147846713
hsa-miR-4300	-0.089915905	5.35000133	-2.866000195	0.006883561	0.019812483	-3.017298238
hsa-miR-3180	-0.089955656	5.218311452	-4.190448519	0.000170899	0.000997324	0.472812494
hsa-miR-4318	-0.090125021	5.151417146	-4.452821696	7.81E-05	0.000565681	1.226321086
hsa-miR-152	0.15395906	7.184185659	1.220413046	0.230197023	0.331631433	-6.02613664
hsa-miR-452*	-0.091091693	5.001482206	-7.631544558	4.78E-09	4.95E-07	10.68569206
ebv-miR-BHRF1-2*	-0.091360311	5.243287731	-3.5110213	0.001214966	0.00468928	-1.397176258
hsa-miR-200c	0.153346486	9.243655132	0.808072301	0.424326321	0.538199204	-6.437979925
hsa-miR-1297	-0.092058127	5.101456535	-5.268295516	6.50E-06	8.59E-05	3.635403679
hsa-miR-3140-3p	-0.092328109	5.201951855	-4.776429872	2.93E-05	0.000261762	2.172571504
hsa-miR-1225-3p	0.152188211	6.62394526	1.867718417	0.069911852	0.127086727	-5.078246605
hsa-miR-455-3p	0.152185028	8.509810132	1.211302594	0.233625981	0.336211749	-6.036925048
hsa-miR-1231	-0.093016195	4.99202823	-6.784574746	6.12E-08	3.17E-06	8.190411396
hsa-miR-485-3p	0.151588686	5.699474495	1.910797369	0.063973427	0.118858216	-5.003203736
hsa-miR-519b-3p	-0.151264845	12.11609113	-1.234096738	0.225117075	0.326056667	-6.009793056
hsa-miR-744*	-0.093278459	5.240111692	-2.61991631	0.012771426	0.031935134	-3.582449473
hsa-miR-34c-5p	0.150648477	6.821022733	1.081897399	0.286451044	0.398193557	-6.182058267
hsa-miR-521	-0.150530844	12.47458152	-1.067948646	0.292612341	0.403841008	-6.196789323
hsa-miR-762	0.149367367	10.68133836	1.067241565	0.292927117	0.403861644	-6.197531286
hsa-miR-4279	-0.149216137	5.458218118	-1.851446459	0.07227454	0.13032638	-5.106226484
hsa-miR-425*	0.148899254	5.997137646	2.256205278	0.030190683	0.064756131	-4.352862828
hsa-miR-146a	0.148597987	6.853661277	0.793182995	0.432838286	0.545911209	-6.449857495
kshv-miR-K12-1	-0.094284726	5.101162673	-5.535423324	2.85E-06	4.73E-05	4.437334287
hsa-miR-431*	-0.14657471	6.403464225	-1.735533169	0.091151093	0.157173204	-5.299636557
hsa-miR-3617	-0.146421237	5.980044107	-1.786599063	0.082377774	0.1454297	-5.215715712
hsa-miR-2116	-0.096371589	5.528251518	-2.820668684	0.007729221	0.021555407	-3.123855711
hsa-miR-1183	0.146325218	9.095234169	1.316040065	0.196431856	0.29301629	-5.908438281
hsa-miR-1203	-0.146254169	5.967643684	-2.177698766	0.036022573	0.075139761	-4.508011472
hsa-miR-183*	-0.097019448	5.522770566	-2.580446323	0.014065991	0.034138541	-3.669949654
hsa-miR-29b-2*	-0.097028024	5.103710811	-5.983536778	7.16E-07	1.93E-05	5.787008956
hsa-miR-4294	0.144862106	6.885384131	1.99082401	0.054088204	0.103637	-4.86012271
hsa-miR-2355-5p	-0.098747038	5.086794218	-4.798803719	2.74E-05	0.000247805	2.238556678
hsa-miR-148b	-0.144801311	8.099437616	-1.722950557	0.093429224	0.159504645	-5.319999576
hsa-miR-3128	-0.098886784	5.067214514	-3.728686179	0.000656222	0.002803968	-0.813227506
hsa-miR-3168	-0.09963222	5.222081735	-2.986143127	0.005042357	0.015331953	-2.729832071
hsa-miR-2277-3p	0.144226043	5.52700692	1.828901112	0.075660429	0.13516525	-5.144659445
