logFC	AveExpr	t	P.Value	adj.P.Val	B
hsa-miR-1290	-2.10436234274954	12.0458307770064	-5.3319284622725	5.34548130238173e-06	7.21514705420389e-05	3.82610289437206
hsa-miR-1246	-1.82036195498155	13.700674820782	-5.44422971991705	3.78123270338361e-06	5.72283196793002e-05	4.16319220230197
hsa-miR-4299	-1.81354550558275	15.0681988014996	-3.54563108345174	0.00110260354234762	0.00436825579865364	-1.30542078403978
hsa-miR-335*	-1.21669492898174	6.86822334674585	-7.56011059681627	5.91081757593204e-09	5.05061029434716e-07	10.4778020725562
hsa-miR-936	-1.17789924224285	8.537077434829	-5.48951475751172	3.28822947520596e-06	5.17474999269323e-05	4.29928612804738
hsa-miR-3156-5p	-1.15051035515324	10.4568679160735	-2.8414535452252	0.00733010015050495	0.020786620847853	-3.07513098155342
hsa-miR-126*	-1.08602266663154	7.72674240053049	-5.96989403111526	7.4638178447595e-07	1.97132600723354e-05	5.74590600518619
hsa-miR-513a-5p	-1.0701330140343	8.82813788953849	-9.00156732016904	9.05831392083117e-11	2.0335914752266e-08	14.5581208564234
hsa-miR-320c	-1.05764199934816	11.5893745163279	-4.70824415397137	3.61036107743439e-05	0.000315789374760008	1.97188596269355
hsa-miR-630	-1.04920985646013	10.6435378099617	-4.34073992392303	0.000109285644324859	0.0007287513015128	0.90272893739595
kshv-miR-K12-7*	-1.03794555040349	6.83892957774	-6.07406929430342	5.41301845699274e-07	1.58507301338461e-05	6.05970859175748
hsa-miR-145	-1.01660832260215	9.39894488382829	-3.97696743246056	0.00032019081178359	0.00163370084648673	-0.128895021249164
hsa-miR-3667-5p	-1.00368385765565	8.64636352135944	-4.64097615336989	4.42749953099687e-05	0.000375084394229735	1.77454033761526
hsa-miR-1275	-0.993487802306884	10.940119292009	-4.0136450994251	0.000287640324202355	0.00148136803872973	-0.0263316104489251
hsa-miR-1260	-0.953977068224148	11.3795873455488	-4.51116370088209	6.55364034568414e-05	0.000497340029960368	1.39567578643871
hsa-miR-3154	-0.953032964681762	8.62850628661824	-5.90141447967295	9.21998433813004e-07	2.30204129481046e-05	5.53957026924101
hsa-miR-517c	-0.950644437538962	13.597915437888	-6.42660627044517	1.83007480639226e-07	7.47003261881931e-06	7.11969642890337
hsv2-miR-H6	-0.940678642726169	11.0634892324632	-4.29263050445876	0.000126154427597088	0.000805355516461028	0.764588904417995
hsa-miR-514b-5p	-0.939395500530445	8.76902452515915	-5.41012313374288	4.20062408884072e-06	6.15026157355267e-05	4.06075081220502
hsa-miR-3945	-0.933231790951816	7.90599397317234	-4.23981392176483	0.000147620635748849	0.000903840892516816	0.613489463985377
hsa-miR-143	-0.92574638653018	8.75858190357494	-3.86901246998389	0.000438224142192147	0.00205675233286698	-0.428651856001063
hsa-miR-125a-3p	-0.916921142556431	9.93134454934894	-4.9556654701916	1.69797034790217e-05	0.000177261975087813	2.70286507854959
hsa-miR-3138	-0.913301365219269	9.05580804343814	-5.49077501860823	3.27546819185552e-06	5.17474999269323e-05	4.30307473118291
hsa-miR-3609	-0.901980140134201	7.54077635770952	-5.4999781002804	3.18376475018228e-06	5.16690496204281e-05	4.33074290919559
hsa-miR-617	-0.864891373482843	7.55654368480847	-3.76550686047417	0.000590535455748216	0.00259951391795048	-0.712898861864613
hsa-miR-711	-0.851213781059124	7.72156463349429	-5.45819031475488	3.62186009808549e-06	5.6076385656565e-05	4.20513859535846
hsa-miR-371-5p	-0.827583601163655	10.0486558128521	-6.00916484115425	6.61229918652732e-07	1.89398049697033e-05	5.86421616122651
hsa-miR-513b	-0.826994166046536	7.20328146623866	-5.19004299182422	8.27291249850248e-06	0.000105128425806442	3.40124976176199
hsa-miR-765	-0.798277931420522	9.23378267041972	-4.33817890588499	0.000110124960868989	0.00073073065167748	0.895363458352729
hsa-miR-574-5p	-0.733878285763277	9.61306292519825	-3.40200078734214	0.00164544870756696	0.00603928994303186	-1.68331223091551
hsa-miR-135b	-0.728369483842059	8.59283667238081	-3.39723079053332	0.00166728781518975	0.00610281708440377	-1.69572833376612
hsa-miR-3622b-5p	-0.719278760992394	7.85254333970815	-4.73542744579582	3.32416216658467e-05	0.000292656629960101	2.05181687293606
hsa-miR-4255	-0.703603221952585	5.84332697946677	-5.83221478299502	1.14155212100466e-06	2.65115639136772e-05	5.33105204483509
hsa-miR-137	-0.703499714139871	5.65375457967951	-3.78724623817286	0.000554793990827645	0.00250774330753301	-0.65346582388892
hsa-miR-337-3p	-0.700487172137886	7.22587509427116	-4.67059341223281	4.04737113146949e-05	0.000345051197094266	1.86134795671271
hsa-miR-3653	-0.698529701318803	8.4869597519347	-5.24861630557976	6.90882852590158e-06	9.03513788775672e-05	3.57647872903968
hsa-miR-3679-5p	-0.68279856095608	11.50190444703	-3.57666048115868	0.0010104265567586	0.00405072789271975	-1.22279417744127
hsa-miR-3607-3p	-0.658784537656237	6.47321453966388	-7.33081650189889	1.17338537358381e-08	9.29735351892581e-07	9.80705192286149
hsa-miR-494	-0.657590422822629	11.5264248536533	-4.20386807086981	0.000164237292215291	0.000970552792775514	0.511000487524393
hsa-miR-378c	-0.649308341056824	6.38902639261191	-5.57779690667383	2.5040089290454e-06	4.43802635187388e-05	4.56481543091153
hsa-miR-3141	-0.628206902380038	10.4044234653183	-3.13069772629472	0.00344092079121024	0.0112225673262959	-2.37470546703601
hsa-miR-551b	-0.623545692808547	7.84680212057129	-2.82119593764442	0.00771885090188642	0.0215554065179542	-3.12262249881632
ebv-miR-BART19-3p	-0.619281777235773	6.66264548557188	-5.5471302635653	2.75261236009988e-06	4.72486719366618e-05	4.472549022672
hsa-miR-3607-5p	-0.614035968506197	8.22519067933228	-3.7800086176238	0.000566453859481173	0.00254180646285742	-0.673268793608335
hsa-miR-423-5p	-0.599962774641403	8.71809400768893	-3.51811406434335	0.00119107661356891	0.00462357405901245	-1.3784075528929
hsa-miR-4281	-0.582764693081122	15.3048450147684	-2.62675470797204	0.0125586221486712	0.0315605672280972	-3.56719805981093
hsa-miR-3713	-0.582531601140887	7.01596820376581	-4.21978275551233	0.000156665840259352	0.000937906163685988	0.556341233023254
hsa-miR-575	-0.580417445702658	10.7878135351524	-2.63512828166808	0.0123024998643994	0.0310327103321087	-3.5484862820649
hsa-miR-513c	-0.579017839317151	6.64793767662796	-4.51931088619706	6.39470720027545e-05	0.000495038540159254	1.41937253205979
hsa-miR-518f*	-0.569975777687441	9.5457209349116	-4.93878103494395	1.78797827744888e-05	0.000181647057998167	2.65275447318606
hsa-miR-145*	-0.567631535102695	6.57333612508532	-4.28310287093262	0.000129786192967098	0.000817987238773767	0.737288166074634
bkv-miR-B1-5p	-0.555628565401158	6.91087495859505	-3.72539662811362	0.000662423461730763	0.00280592579544446	-0.822170062454272
hsa-miR-23a*	-0.546165742072075	6.98564588051499	-6.1913381959282	3.7717412205543e-07	1.23915498148455e-05	6.41271960392335
hsa-miR-424	-0.538190209099785	13.6122315940962	-2.58249149273849	0.0139960531843717	0.034133112102491	-3.66543801878882
hsa-miR-125b	-0.535204364632285	11.444917369014	-4.37280871675625	9.92930697578798e-05	0.000685885974173662	0.995068849721381
hsa-miR-4327	-0.52740522172258	9.5760118211888	-2.63742463261373	0.0122331082464779	0.0309155662439133	-3.54334779673405
hsa-miR-642b	-0.524878562624489	10.3891473553934	-2.69690760992556	0.0105568192401359	0.027611719449443	-3.40920394496411
hsa-miR-874	-0.520435208794102	8.39093319172744	-3.78309944293691	0.000561445732479391	0.00252932241354428	-0.664813897758437
hsa-miR-198	-0.519777331429268	8.4734857241924	-5.53487112696177	2.85875536100548e-06	4.72823352199068e-05	4.43567337887949
hcmv-miR-US4	-0.518886566777367	8.90190406873434	-4.14338296342603	0.000196421909053055	0.00108434553891174	0.339204014276328
hsa-miR-3682-3p	-0.512729693912597	7.84913412718401	-4.26216128169549	0.000138132966524059	0.000853509660128013	0.677348858082227
hsa-miR-4257	-0.507844722044013	8.42413594105679	-4.46840068618641	7.45384255308947e-05	0.000542720319946569	1.27148471850188
